Name;Cluster
CH-1995-1;1
CH-1995-3;5
E-1995-4;1
E-1995-7;1
E-1995-19;1
E-1995-23;1
E-1995-34;1
I-1995-2;1
I-1995-12;1
I-1995-19;1
E-1996-7;1
E-1996-9;1
Blue Poster_1997;1
Connection_1997;1
Decor_1997;1
Doll's House_1997;1
Eve_1997;1
Glass_1997;1
Green Wall_1997;1
NL-1997-1_1997;1
Pit_1997;1
Soil_1997;1
Wood_1997;1
Contour_1997;1
13 Aeroplanes_1998;3
A Moon_1998(missing);3
Bay Area_1998;3
Constellation_1998;3
Double Mist_1998;3
H2O_1998;3
High Pool_1998;3
Landscape_1998;3
Long Beach_1998;3
Meander_1998;3
Neon_1998;3
Suburb_1998;3
Transit_1998;3
Water_1998;3
Apartment_1999;1
3 Piano_1999;1
Avenue_1999;1
Block_1999;1
Circuit_1999;1
Corridor_1999;1
Interval_1999;1
Set_1999;1
Transfer_1999;1
Descent_2000;6
Balance_2000;6
Complex_2000;1
Court_2000;4
Facade_2000;6
Flow_2000;5
Home_2000;1
Neighbourhood_2000;0
Spot_2000;1
Capital_2000;2
Parallel_2000;5
Exit_2001;6
Ground_2001;1
Passing_2001;1
Setting_2001;1
Still_2001;1
Building_2001;2
Expo_2001;0
Flux_2001;6
Intersection_2001;6
Two Sixty Four_2001;5
Domicile_2002;1
Park _2002;0
Gate_2002;0
Mezzanine_2002;0
Quarter_2002;0
Terrace_2002;5
Tube_2002;0
Intermezzo_2003;3
Info_2003;0
Tour_2003;5
Midi_2003;0
Lille_2003;0
Metro_2003;0
Etage_2003;0
Platform_2003;2
Habitat_2003;3
Annex_2003;4
Column_2003;6
Crop_2003;1
Focus_2003;6
Grid_2003;5
Lobby_2003;3
Model_2003;0
Plateau_2003;2
Prospect_2004;4
Nexus_2004;4
Level_2004;4
Gazette_2004;6
Plan_2004;0
Frame_2004;6
Section_2004;6
Facet_2004;4
Class_2004;6
Panorama_2004;2
Sequence_2004;5
Palace_2004;0
Link_2004;7
Gallery_2004;2
Front_2004;5
Canvas_2004;2
Match_2004;5
Scene_2004;1
Module_2004;6
Zone_2004;6
Loop_2005;0
Enterprise_2005;2
Display_2005;7
Enclave_2005;4
Domain_2005;2
Room_2005;4
Core_2005;4
Palette_2005;4
Queue_2005;0
Unit_2005;6
Reservoir_2005;4
Image_2005;6
Regime_2005;0
Border_2005;4
Storey_2005;4
Circle_2006;3
Memo_2006;3
Contact_2006;3
Collage_2006;6
Filter_2006;6
Corner_2006;6
Bloom_2006;4
Fringe_2006;3
Array_2006;6
Cycle_2006;7
Interlude_2006;2
Studio_2006;0
Arcade_2006;2
Mirage_2006;2
Sector_2006;3
Entrance_2006;6
Square_2006;0
Screen_2006;3
Network_2006;1
Presence_2006;1
Exposure_2007;0
Base_2007;3
Center_2007;6
Access_2007;5
Aperture_2007;6
Detail_2007;4
Dynasty_2007;2
Living_2007;5
Passage_2007;1
Bouquet_2008;4
Forum_2008;4
House_2008;1
Territory_2008;4
Labyrinth_2008;6
Cluster_2008;5
Atmosphere_2008;5
Volume_2008;1
Support_2008;6
Junction_2008;5
Spectrum_2008;4
Replica_2008;6
Control_2008;4
Nature_2008;6
Project_2008;2
Property_2008;2
Summit_2008;4
Transition_2008;3
Site_2008;2
Matrix_2008;7
Monitor_2008(missing);7
Flood_2009;2
Picture a Mirror_2009;6
Matter_2009;7
Play_2009;4
Race_2009;5
Condominium_2010;2
The English House_2010;4
Green Zone_2010;4
SuperVision_2010;5
China Halo_2010;7
Crossover_2010;2
Premises (in Red)_2010;2
One Brilliant Complex_2011;0
The Approach_2011;7
Double Standard_2012;5
Plot Ratio_2012;2
Synchronicity_2012;7
Costa Blanca_2012;5
Flatland_2012;4
Hotel Opportunity_2012;2
Mission Interlude_2012;2
Multi Story Building_2012;5
Timeport_2012;4
Hollywood_2013;4
Megalopolis_2013;5
Paramount_2013;4
Thriller_2013;4
Capital no Capital_2013;0
California_2013;4
Levante_2013;5
Propitious Grounds_2013;4
The Strip_2013;7
Treasure Gathering Square_2013;2
The Crossroads_2014;7
The Deal_2015;7
Panacea_2015;2
Wonderland_2015;5
Momentum_2016;4
The Next Level_2016;5
UN_2016;4
Entracte_2016;7
Performance_2017;0
The Valley Continuum_2018;7
